Date,Time,Temperature(C),Humidity(%),GPOA(W/M2),EDS/CTRL(#),Voc_Before(V),Voc_After(V),Isc_Before(A),Isc_After(A),Pout_Before(W),Pout_After(W),PR_Before,PR_After,SR_Before,SR_After
5/4/2020,10:0:1,Error,Error,11.659,EDS4,17.67,17.79,0.06,0.07,1.06,1.25,7.58,8.93,7.57,8.83
5/4/2020,10:1:49,Error,Error,11.762,CTRL1,17.18,N/A,0.07,N/A,1.2,N/A,8.5,N/A,8.75,N/A
5/4/2020,10:2:4,Error,Error,11.746,CTRL2,16.75,N/A,0.08,N/A,1.34,N/A,9.51,N/A,10.02,N/A
5/4/2020,11:0:2,Error,Error,14.212,EDS5,17.06,17.06,0.07,0.08,1.19,1.36,6.98,7.97,7.24,8.28
5/4/2020,11:1:51,Error,Error,14.319,CTRL1,17.43,N/A,0.08,N/A,1.39,N/A,8.09,N/A,8.22,N/A
5/4/2020,11:2:5,Error,Error,14.319,CTRL2,17.24,N/A,0.1,N/A,1.72,N/A,10.01,N/A,10.27,N/A
5/4/2020,11:41:1,Error,Error,17.378,EDS1,17.79,17.73,0.07,0.08,1.25,1.42,5.99,6.81,5.92,6.77
5/4/2020,11:42:49,Error,Error,17.057,CTRL1,17.73,N/A,0.09,N/A,1.6,N/A,7.82,N/A,7.76,N/A
5/4/2020,11:43:3,Error,Error,17.084,CTRL2,17.86,N/A,0.12,N/A,2.14,N/A,10.44,N/A,10.33,N/A
5/4/2020,13:0:2,Error,Error,31.825,EDS2,17.49,18.1,0.08,0.12,1.4,2.17,3.67,5.68,3.7,5.55
5/4/2020,13:1:50,Error,Error,24.548,CTRL1,18.04,N/A,0.11,N/A,1.98,N/A,6.72,N/A,6.59,N/A
5/4/2020,13:2:4,Error,Error,23.954,CTRL2,18.04,N/A,0.16,N/A,2.89,N/A,10.05,N/A,9.82,N/A
5/5/2020,10:0:0,Error,Error,11.595,EDS4,17.55,17.61,0.07,0.07,1.23,1.23,8.84,8.84,8.88,8.88
5/5/2020,10:1:48,Error,Error,11.597,CTRL1,17.12,N/A,0.07,N/A,1.2,N/A,8.62,N/A,8.88,N/A
5/5/2020,10:2:3,Error,Error,11.6,CTRL2,16.62,N/A,0.08,N/A,1.33,N/A,9.55,N/A,10.14,N/A
5/5/2020,11:41:1,Error,Error,16.987,EDS1,17.61,17.79,0.07,0.08,1.23,1.42,6.03,6.97,6.06,6.93
5/5/2020,11:42:50,Error,Error,17.178,CTRL1,17.73,N/A,0.09,N/A,1.6,N/A,7.76,N/A,7.7,N/A
5/5/2020,11:43:4,Error,Error,17.168,CTRL2,17.73,N/A,0.11,N/A,1.95,N/A,9.47,N/A,9.42,N/A
5/5/2020,12:0:0,Error,Error,14.069,EDS3,17.61,17.73,0.15,0.15,2.64,2.66,15.64,15.76,15.68,15.68
5/5/2020,12:1:48,Error,Error,15.289,CTRL1,17.49,N/A,0.11,N/A,1.92,N/A,10.47,N/A,10.58,N/A
5/5/2020,12:2:3,Error,Error,13.383,CTRL2,17.3,N/A,0.15,N/A,2.6,N/A,16.19,N/A,16.48,N/A
