Date,Time,Temperature(C),Humidity(%),GPOA(W/M2),PRE/POST,EDS/CTRL(#),OCV(V),SCC(A),Power(W),PR,SR
1/27/2020,12:33:26,30,28.3,280,PRE,EDS1,17,0.4,30,95,97
1/27/2020,12:34:51,30,28,240,POST,EDS1,17,0.42,31,95,97
1/28/2020,12:37:11,31,27.4,270,PRE,EDS2,18,0.5,30,96,98
1/28/2020,12:38:35,31,45.5,260,POST,EDS2,18,0.51,31,96,98
1/29/2020,12:37:11,32,27.4,270,PRE,EDS2,18,0.5,30,96,98
1/29/2020,12:38:35,32,45.5,260,POST,EDS2,18,0.51,31,96,98
1/30/2020,12:33:26,34,28.3,280,PRE,EDS1,17,0.4,30,95,97
1/30/2020,12:34:51,34,28,240,POST,EDS1,17,0.42,31,95,97
1/31/2020,12:33:26,33,28.3,280,PRE,EDS1,17,0.4,30,95,97
1/31/2020,12:34:51,33,28,240,POST,EDS1,17,0.42,31,95,97
2/1/2020,12:33:26,32,28.3,280,PRE,EDS1,17,0.4,30,95,97
2/1/2020,12:34:51,32,28,240,POST,EDS1,17,0.42,31,95,97
2/2/2020,12:33:26,35,28.3,280,PRE,EDS1,17,0.4,30,95,97
2/2/2020,12:34:51,35,28,240,POST,EDS1,17,0.42,31,95,97
2/3/2020,12:33:26,33,28.3,280,PRE,EDS1,17,0.4,30,95,97
2/3/2020,12:34:51,33,28,240,POST,EDS1,17,0.42,31,95,97
2/4/2020,12:33:26,32,28.3,280,PRE,EDS1,17,0.4,30,95,97
2/4/2020,12:34:51,32,28,240,POST,EDS1,17,0.42,31,95,97
2/5/2020,12:33:26,33,28.3,280,PRE,EDS1,17,0.4,30,95,97
2/5/2020,12:34:51,33,28,240,POST,EDS1,17,0.42,31,95,97
2/6/2020,12:33:26,32,28.3,280,PRE,EDS1,17,0.4,30,95,97
2/6/2020,12:34:51,32,28,240,POST,EDS1,17,0.42,31,95,97
2/7/2020,12:33:26,33,28.3,280,PRE,EDS1,17,0.4,30,95,97
2/7/2020,12:34:51,33,28,240,POST,EDS1,17,0.42,31,95,97
2/8/2020,12:33:26,32,28.3,280,PRE,EDS1,17,0.4,30,95,97
2/8/2020,12:34:51,32,28,240,POST,EDS1,17,0.42,31,95,97
2/9/2020,12:33:26,34,28.3,280,PRE,EDS1,17,0.4,30,95,97
2/9/2020,12:34:51,34,28,240,POST,EDS1,17,0.42,31,95,97
2/10/2020,12:34:51,34,28,240,POST,EDS1,17,0.42,31,95,97
2/10/2020,12:34:51,34,28,240,POST,EDS1,17,0.42,31,95,97
