,Date,Time,Temperature(C),Humidity(%),GPOA(W/M2),EDS/CTRL(#),Voc_Before(V),Voc_After(V),Isc_Before(A),Isc_After(A),Pout_Before(W),Pout_After(W),PR_Before,PR_After,SR_Before,SR_After
0,5/4/2020,10:0:1,Error,Error,11.659,EDS4,17.67,17.79,0.06,0.07,1.06,1.25,7.58,8.93,7.57,8.83
1,5/4/2020,10:1:49,Error,Error,11.762,CTRL1,17.18,,0.07,,1.2,,8.5,,8.75,
2,5/4/2020,10:2:4,Error,Error,11.745999999999999,CTRL2,16.75,,0.08,,1.34,,9.51,,10.02,
3,5/4/2020,11:0:2,Error,Error,14.212,EDS5,17.06,17.06,0.07,0.08,1.19,1.36,6.98,7.97,7.24,8.28
4,5/4/2020,11:1:51,Error,Error,14.319,CTRL1,17.43,,0.08,,1.39,,8.09,,8.22,
5,5/4/2020,11:2:5,Error,Error,14.319,CTRL2,17.24,,0.1,,1.72,,10.01,,10.27,
6,5/4/2020,11:41:1,Error,Error,17.378,EDS1,17.79,17.73,0.07,0.08,1.25,1.42,5.99,6.81,5.92,6.77
7,5/4/2020,11:42:49,Error,Error,17.057000000000002,CTRL1,17.73,,0.09,,1.6,,7.82,,7.76,
8,5/4/2020,11:43:3,Error,Error,17.084,CTRL2,17.86,,0.12,,2.14,,10.44,,10.33,
9,5/4/2020,13:0:2,Error,Error,31.825,EDS2,17.49,18.1,0.08,0.12,1.4,2.17,3.67,5.68,3.7,5.55
10,5/4/2020,13:1:50,Error,Error,24.548000000000002,CTRL1,18.04,,0.11,,1.98,,6.72,,6.59,
11,5/4/2020,13:2:4,Error,Error,23.954,CTRL2,18.04,,0.16,,2.89,,10.05,,9.82,
12,5/5/2020,10:0:0,Error,Error,11.595,EDS4,17.55,17.61,0.07,0.07,1.23,1.23,8.84,8.84,8.88,8.88
13,5/5/2020,10:1:48,Error,Error,11.597000000000001,CTRL1,17.12,,0.07,,1.2,,8.62,,8.88,
14,5/5/2020,10:2:3,Error,Error,11.6,CTRL2,16.62,,0.08,,1.33,,9.55,,10.14,
15,5/5/2020,11:41:1,Error,Error,16.987000000000002,EDS1,17.61,17.79,0.07,0.08,1.23,1.42,6.03,6.97,6.06,6.93
16,5/5/2020,11:42:50,Error,Error,17.178,CTRL1,17.73,,0.09,,1.6,,7.76,,7.7,
17,5/5/2020,11:43:4,Error,Error,17.168,CTRL2,17.73,,0.11,,1.95,,9.47,,9.42,
18,5/5/2020,12:0:0,Error,Error,14.069,EDS3,17.61,17.73,0.15,0.15,2.64,2.66,15.64,15.76,15.68,15.68
19,5/5/2020,12:1:48,Error,Error,15.289000000000001,CTRL1,17.49,,0.11,,1.92,,10.47,,10.58,
20,5/5/2020,12:2:3,Error,Error,13.383,CTRL2,17.3,,0.15,,2.6,,16.19,,16.48,
21,5/5/2020,13:0:6,Error,Error,26.698,EDS2,17.98,17.92,0.11,0.14,1.98,2.51,6.18,7.83,6.06,7.71
22,5/5/2020,13:1:54,Error,Error,24.768,CTRL1,18.23,,0.15,,2.73,,9.19,,8.91,
23,5/5/2020,13:2:8,Error,Error,24.75,CTRL2,18.78,,0.21,,3.94,,13.27,,12.48,
24,5/6/2020,10:0:0,Error,Error,31.815,EDS4,18.84,19.03,0.13,0.12,2.45,2.28,6.42,5.97,6.01,5.55
25,5/6/2020,10:1:49,Error,Error,33.152,CTRL1,18.59,,0.1,,1.86,,4.68,,4.44,
26,5/6/2020,10:2:3,Error,Error,33.278,CTRL2,18.47,,0.13,,2.4,,6.01,,5.74,
27,5/6/2020,11:0:2,Error,Error,40.411,EDS5,18.35,18.41,0.11,0.13,2.02,2.39,4.17,4.93,4.0,4.73
28,5/6/2020,11:1:50,Error,Error,38.064,CTRL1,18.66,,0.14,,2.61,,5.71,,5.41,
29,5/6/2020,11:2:4,Error,Error,40.22,CTRL2,18.72,,0.18,,3.37,,6.98,,6.58,
30,5/6/2020,11:41:2,Error,Error,38.158,EDS1,18.53,18.53,0.09,0.1,1.67,1.85,3.65,4.04,3.47,3.85
31,5/6/2020,11:42:50,Error,Error,35.397,CTRL1,18.59,,0.11,,2.04,,4.8,,4.57,
32,5/6/2020,11:43:4,Error,Error,34.985,CTRL2,18.59,,0.18,,3.35,,7.98,,7.57,
33,5/6/2020,13:0:0,Error,Error,24.23,EDS2,17.67,17.73,0.08,0.1,1.41,1.77,4.85,6.09,4.86,6.07
34,5/6/2020,13:1:49,Error,Error,23.053,CTRL1,18.04,,0.09,,1.62,,5.86,,5.74,
35,5/6/2020,13:2:3,Error,Error,21.97,CTRL2,18.59,,0.15,,2.79,,10.58,,10.04,
36,5/7/2020,10:0:2,Error,Error,21.733,EDS4,18.66,18.78,0.1,0.13,1.87,2.44,7.17,9.36,6.77,8.8
37,5/7/2020,10:1:50,Error,Error,22.673000000000002,CTRL1,18.1,,0.1,,1.81,,6.65,,6.49,
38,5/7/2020,10:2:4,Error,Error,22.726999999999997,CTRL2,17.92,,0.13,,2.33,,8.54,,8.41,
39,5/7/2020,11:41:2,Error,Error,24.355999999999998,EDS1,18.1,18.41,0.07,0.1,1.27,1.84,4.35,6.3,4.23,6.04
40,5/7/2020,11:42:50,Error,Error,31.182,CTRL1,18.53,,0.12,,2.22,,5.93,,5.66,
41,5/7/2020,11:43:4,Error,Error,31.179000000000002,CTRL2,18.47,,0.16,,2.96,,7.91,,7.55,
42,5/7/2020,13:0:0,Error,Error,34.458,EDS2,17.98,17.86,0.09,0.12,1.62,2.14,3.92,5.18,3.84,5.12
43,5/7/2020,13:1:49,Error,Error,32.56,CTRL1,18.16,,0.13,,2.36,,6.04,,5.87,
44,5/7/2020,13:2:3,Error,Error,32.168,CTRL2,18.35,,0.15,,2.75,,7.12,,6.86,
45,5/8/2020,10:0:1,Error,Error,24.087,EDS4,18.66,18.53,0.1,0.12,1.87,2.22,6.47,7.68,6.11,7.33
